id,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
4447077,2015-12-19,2022-10-26,4.82,4.98,4.89,4.94,4.95,4.77,4.81,0.94
4465068,2015-07-12,2022-11-28,5,5,5,4.82,5,5,4.82,0.13
4465400,2014-12-29,2022-12-31,4.98,4.93,4.95,5,5,4.98,4.88,0.42
4493377,2014-12-02,2023-02-28,4.85,4.88,4.79,4.95,4.94,4.95,4.84,1.12
4568364,2015-04-03,2023-03-11,4.75,4.85,4.83,4.94,4.97,4.87,4.71,2.8
4588807,2015-02-22,2021-11-04,4.88,4.9,4.96,4.9,4.94,4.94,4.9,0.74
4624838,2015-02-22,2023-02-13,4.75,4.87,4.66,4.95,4.95,4.84,4.76,2.25
4630113,2015-07-07,2021-08-16,5,4.93,4.87,4.93,5,4.87,5,0.17
4637856,2014-12-30,2021-10-03,5,5,4.56,5,5,4.78,4.67,0.09
4659229,2016-04-10,2023-01-06,4.71,4.87,4.83,4.93,4.8,4.93,4.77,1.94
4679955,2015-05-12,2020-07-31,4.88,4.91,4.85,4.81,4.89,4.86,4.79,0.87
4699429,2015-01-15,2019-04-28,4.8,4.8,5,5,4.6,4.6,4.4,0.05
4701041,2015-05-06,2018-09-30,4.5,5,5,4.5,4.5,3.5,4,0.02
4701190,2017-08-31,2023-02-22,4.82,4.82,4.91,4.91,4.82,4.82,4.82,0.16
4747128,2016-12-24,2023-02-23,4.96,4.97,4.87,4.95,4.88,5,4.8,1.73
4763948,2015-06-01,2023-03-09,4.73,4.92,4.89,4.94,4.93,4.72,4.73,1.45
